policy,n_arguments,cluster_id,metapolicy_id,metapolicy_name
We should abandon marriage,421,6,7,"Gender, Family & Social Norms"
We should adopt a multi-party system,402,0,1,Political Governance
Assisted suicide should be a criminal offence,396,2,4,Bioethics & Personal Autonomy
We should abolish safe spaces,404,7,3,Civil Liberties & Rights
We should ban naturopathy,540,2,4,Bioethics & Personal Autonomy
Surrogacy should be banned,435,6,4,Bioethics & Personal Autonomy
We should ban cosmetic surgery,430,2,4,Bioethics & Personal Autonomy
We should abolish capital punishment,470,7,2,Criminal Justice & Law
We should ban cosmetic surgery for minors,502,2,4,Bioethics & Personal Autonomy
We should legalize sex selection,405,6,7,"Gender, Family & Social Norms"
We should fight urbanization,405,1,9,Animal Welfare & Environment
We should oppose collectivism,454,0,1,Political Governance
We should subsidize student loans,386,4,5,Economic & Labor Policy
We should limit executive compensation,381,4,5,Economic & Labor Policy
We should introduce compulsory voting,406,0,1,Political Governance
We should fight for the abolition of nuclear weapons,554,1,3,Civil Liberties & Rights
We should legalize organ trade,413,2,4,Bioethics & Personal Autonomy
We should subsidize stay-at-home dads,405,4,5,Economic & Labor Policy
We should limit judicial activism,402,7,2,Criminal Justice & Law
We should prohibit flag burning,428,7,3,Civil Liberties & Rights
We should adopt gender-neutral language,386,6,7,"Gender, Family & Social Norms"
We should ban telemarketing,438,1,8,"Education, Media & Technology"
We should subsidize Wikipedia,400,4,8,"Education, Media & Technology"
We should end racial profiling,418,7,2,Criminal Justice & Law
We should stop the development of autonomous cars,446,3,8,"Education, Media & Technology"
We should legalize polygamy,500,6,7,"Gender, Family & Social Norms"
We should abandon television,389,1,8,"Education, Media & Technology"
Homeschooling should be banned,395,3,8,"Education, Media & Technology"
We should legalize prostitution,504,2,4,Bioethics & Personal Autonomy
We should end mandatory retirement,484,4,5,Economic & Labor Policy
Entrapment should be legalized,406,7,2,Criminal Justice & Law
We should abolish intellectual property rights,432,7,5,Economic & Labor Policy
We should abolish the right to keep and bear arms,415,7,3,Civil Liberties & Rights
The vow of celibacy should be abandoned,432,6,6,Religion & Secularism
Homeopathy brings more harm than good,358,2,4,Bioethics & Personal Autonomy
We should subsidize vocational education,431,4,5,Economic & Labor Policy
We should close Guantanamo Bay detention camp,447,7,2,Criminal Justice & Law
Foster care brings more harm than good,538,3,7,"Gender, Family & Social Norms"
We should ban the use of child actors,436,3,8,"Education, Media & Technology"
We should ban whaling,428,1,9,Animal Welfare & Environment
We should abolish zoos,395,1,9,Animal Welfare & Environment
We should adopt an austerity regime,424,4,5,Economic & Labor Policy
We should end affirmative action,456,3,7,"Gender, Family & Social Norms"
We should subsidize journalism,368,4,5,Economic & Labor Policy
We should cancel pride parades,399,7,3,Civil Liberties & Rights
We should end the use of economic sanctions,400,1,3,Civil Liberties & Rights
We should subsidize embryonic stem cell research,400,2,4,Bioethics & Personal Autonomy
We should subsidize space exploration,388,4,5,Economic & Labor Policy
We should ban fast food,422,1,9,Animal Welfare & Environment
We should adopt a zero-tolerance policy in schools,459,3,8,"Education, Media & Technology"
Intelligence tests bring more harm than good,472,3,8,"Education, Media & Technology"
Payday loans should be banned,446,4,5,Economic & Labor Policy
Blockade of the Gaza Strip should be ended,521,1,3,Civil Liberties & Rights
We should ban human cloning,423,2,4,Bioethics & Personal Autonomy
We should ban the Church of Scientology,407,5,6,Religion & Secularism
We should abandon the use of school uniform,480,3,8,"Education, Media & Technology"
Holocaust denial should be a criminal offence,466,7,2,Criminal Justice & Law
We should prohibit women in combat,375,7,3,Civil Liberties & Rights
The use of public defenders should be mandatory,427,7,2,Criminal Justice & Law
We should ban factory farming,414,1,9,Animal Welfare & Environment
We should adopt libertarianism,400,0,1,Political Governance
We should abolish the three-strikes laws,499,7,2,Criminal Justice & Law
We should prohibit school prayer,427,5,6,Religion & Secularism
We should ban targeted killing,414,7,2,Criminal Justice & Law
We should legalize cannabis,548,2,4,Bioethics & Personal Autonomy
We should adopt atheism,379,5,6,Religion & Secularism
We should ban private military companies,397,7,3,Civil Liberties & Rights
Social media brings more harm than good,331,3,8,"Education, Media & Technology"
We should ban algorithmic trading,390,3,5,Economic & Labor Policy
We should ban missionary work,438,5,6,Religion & Secularism
We should abolish the Olympic Games,410,1,9,Animal Welfare & Environment
